R526528,R842707
R413288,R543954
R766711,R645420
R722381,R528766
R892070,R460004
R843875,R875068
R285763,R282123
R795903,R467871
R256164,R119049
R632698,R425818
R555284,R716541
R929207,R617125
R953905,R841187
R722332,R764559
R673164,R631839
R157949,R636755
R223147,R399537
R541439,R972450
R576126,R709949
R310480,R566195
R883508,R569783
R173555,R504038
R711183,R352354
R163552,R845087
R752169,R626864
R573565,R708037
R310491,R282114
R584618,R145832
R486515,R616163
R346993,R276454
R114988,R354868
R523741,R229097
R788242,R664686
R489242,R406028
R644120,R764336
R708134,R171290
R257113,R448311
R184815,R788613
R814119,R743386
R284241,R231424
R739144,R327708
R297783,R875811
R433769,R725548
R963482,R444641
R326017,R862590
R677650,R276302
R126600,R905082
R352305,R220557
R881615,R349836
R138106,R836540
R152669,R719205
R171436,R252960
R713532,R922075
R752113,R347706
R192236,R579173
R862128,R372388
R730554,R302118
R588732,R400072
R771692,R236638
R635386,R668434
R233299,R752471
R529400,R217713
R689566,R191534
R406039,R694246
R753697,R218696
R788853,R300881
R574777,R537541
R785153,R611484
R574699,R831690
R301667,R417634
R138534,R169503
R317966,R298546
R340560,R271568
R877416,R136629
R959489,R396427
R605953,R954057
R244265,R195624
R871351,R683503
R766743,R222335
R420412,R997056
R268355,R351785
R871919,R118125
R527727,R155971
R387513,R199861
R269922,R919640
R578368,R978230
R175288,R638150
R233008,R873431
R288049,R639674
R850685,R846666
R270578,R886455
R187009,R713511
R385054,R699235
R657210,R530274
R679720,R219713
R733939,R521153
R964843,R521521
R484978,R488634
R994482,R138513
R290564,R781201
R662899,R900730
R488414,R586770
R115979,R923398
R308916,R170844
R815196,R714275
R477604,R782671
R494377,R173475
R766445,R592437
R698345,R638145
R230811,R141280
R572541,R396409
R570733,R224020
R551428,R889359
R343790,R829421
R402503,R278962
R184831,R283230
R961861,R787185
R227240,R285970
R794347,R470913
R135795,R481914
R445317,R927456
R239352,R817639
R650481,R478651
R822356,R387538
R904013,R202810
R412281,R905303
R963374,R527445
R239904,R402195
R485628,R756539
R454636,R825464
R671821,R666464
R631867,R240155
R772632,R376908
R370254,R267275
R254904,R963155
R723793,R542906
R900612,R365051
R102131,R657144
R882834,R459852
R128567,R836663
R451613,R864700
R605562,R640017
R561419,R563255
R160762,R862850
R337833,R263464
R699706,R520002
R142992,R242320
R383226,R657754
R992419,R582707
R476771,R428678
R930232,R431603
R858579,R737788
R649995,R242061
R937095,R219987
R474477,R896093
R931973,R106549
R520100,R652020
R926080,R129402
R290017,R493037
R730525,R693844
R848111,R684568
R666442,R298954
R224142,R385494
R926799,R985193
R823948,R534576
R952236,R724916
R817336,R664866
R567805,R916927
R888333,R647498
R924863,R335754
R492800,R348167
R689265,R654372
R732747,R965256
R405834,R999924
R488743,R115995
R359814,R179682
R854860,R706416
R932222,R340331
R836714,R827513
R830718,R995507
R797958,R287676
R575013,R415182
R504472,R921838
R332091,R469559
R453910,R249381
R939383,R904367
R132573,R633570
R140512,R229111
R583373,R542567
R276868,R369731
R697813,R715729
R855101,R935994
R354157,R398519
R453522,R806163
R716593,R891475
R772593,R287248
R696583,R732549
R562030,R916264
R174036,R743606
R979966,R890751
R568503,R894767
R849086,R481241
R343163,R652155
R581049,R700777
R754923,R173508
R882474,R768937
R647144,R150924
R905024,R726822
R870499,R306286
R788121,R678473
R196391,R801646
R628824,R256188
R930489,R367025
R189190,R906138
R662674,R327476
R815768,R209899
R473700,R180729
R810312,R441191
R125872,R934357
R351823,R729543
R873735,R124283
R532664,R634150
R872296,R855978
R720327,R520013
R575349,R843299
R218014,R301619
R985661,R618416
R428768,R230693
R199487,R737296
R641602,R772059
R794533,R851985
R391909,R646387
R914294,R334841
R909371,R834193
R637625,R312806
R828840,R241576
R646739,R718468
R218360,R222664
R653838,R884879
R112685,R463482
R687827,R765086
R601344,R669502
R190112,R184080
R666849,R469101
R351331,R394083
R857332,R898531
R819412,R707051
R421256,R778887
R395107,R738825
R730274,R797836
R779177,R322332
R832898,R302074
R281247,R394878
R139133,R366091
R890473,R230336
R292190,R518021
R841483,R253400
R883461,R577753
R136049,R680155
R406459,R326092
R885089,R777763
R106449,R358728
R395357,R694077
R292887,R899940
R783326,R915524
R852231,R625462
R405688,R735520
R132836,R273434
R320791,R277352
R909575,R921538
R328029,R563346
R497492,R917750
R640729,R699866
R412362,R383756
R392929,R272220
R366530,R319486
R435114,R824082
R557718,R496026
R486754,R537040
R682844,R728207
R793040,R106195
R968376,R655092
R875687,R302138
R502701,R693529
R554100,R542770
R601691,R215581
R125106,R473837
R437371,R804990
R722124,R962836
R200630,R601880
R256857,R255109
R491727,R782518
R389171,R277808
R362398,R995321
R212439,R741411
R205183,R536541
R529261,R959654
R759073,R263859
R549828,R379187
R806224,R126107
R998957,R359249
R344735,R629866
R616334,R660608
R104547,R705998
R667931,R239952
R114474,R196100
R626197,R163814
R170581,R694484
R457849,R976965
R374974,R955307
R144646,R315079
R810117,R752666
R812551,R668541
R553709,R672467
R990028,R718325
R575594,R285742
R860371,R451225
R886212,R219394
R231376,R874713
R697651,R270954
R405483,R974831
R663592,R366609
R710205,R974568
R303308,R181344
R770264,R596399
R436054,R484572
R473313,R214336
R992096,R689475
R992537,R858791
R946342,R922332
R865291,R369951
R541913,R586907
R346512,R347159
R816702,R859660
R853436,R658965
R332597,R755107
R302339,R803021
R770083,R869187
R890475,R303503
R181971,R204367
R735550,R457363
R699685,R838304
R825236,R333273
R732502,R344064
R113519,R356930
R605860,R194609
R317086,R315689
R149139,R626887
R317439,R972858
R125564,R676187
R224574,R429342
R132766,R427367
R839870,R146590
R642275,R453199
R810688,R977575
R709583,R881117
R667530,R927600
R587002,R123074
R485648,R436575
R271070,R253667
R334976,R651091
R933260,R549232
R995248,R624544
R422221,R789639
R574178,R527480
R627732,R893080
R155239,R828908
R929606,R564164
R231849,R903911
R540565,R536346
R202994,R632472
R955261,R931254
R613441,R970734
R497113,R568619
R286527,R836689
R356863,R419001
R686771,R114192
R319961,R936351
R566517,R552178
R838438,R137124
R932023,R153224
R115147,R604074
R947471,R280208
R662032,R542540
R566553,R652486
R931067,R726782
R241300,R759023
R894247,R343536
R535323,R138702
R442143,R807753
R772089,R872133
R812523,R756723
R537156,R926298
R489078,R339714
R221421,R834697
R142421,R609428
R769800,R222010
R677897,R352631
R273720,R970825
R827623,R760713
R805732,R763708
R221561,R114463
R841373,R280428
R278355,R492044
R740624,R760498
R962250,R605386
R935520,R890974
R671961,R257194
R684386,R673785
R180005,R387518
R836913,R228128
R137060,R926442
R816885,R257251
R992500,R459355
R563057,R464153
R387241,R798690
R517376,R533437
R216977,R356594
R284625,R305157
R561771,R647706
R859244,R114600
R827461,R720859
R755916,R445494
R978806,R917081
R471858,R180453
R570893,R602447
R781963,R993983
R851400,R126069
R890740,R871076
R916328,R867947
R632054,R493643
R418331,R746632
R951075,R840969
R485246,R506715
R944163,R288216
R428949,R214785
R928671,R716202
R427837,R180942
R934519,R970453
R406023,R124189
R316301,R365040
R730882,R481960
R729876,R470460
R923135,R924879
R738858,R205694
R441004,R531054
R903322,R772368
R730700,R118694
R468425,R544162
R975335,R276152
R188285,R330594
R143462,R258562
R170733,R446279
R389776,R870152
R165830,R549664
R813005,R199043
R608662,R615746
R659927,R830710
R536278,R610792
R418071,R540428
R901648,R371894
R566443,R696931
R301100,R814206
R554907,R644878
R261606,R353404
R407747,R758018
R460948,R254539
R133000,R730192
R467778,R335498
R821671,R647555
R176243,R695744
R748634,R213068
R724952,R463720
R158544,R439042
R186680,R589840
R333576,R597093
R993740,R981348
R567716,R989723
R133805,R395450
R856196,R261141
R609957,R519145
R499779,R519634
R876923,R956197
R197687,R736594
R673866,R162005
R448246,R992918
R178651,R154027
R797562,R172351
R470838,R670934
R550024,R475503
R512611,R798154
R548979,R308502
R935905,R135587
R629405,R344197
R542918,R194564
R455235,R216517
R253800,R668713
R539988,R425208
R845747,R784326
R395528,R866144
R983662,R363452
R184695,R740179
R771562,R503405
R561751,R179010
R204821,R857417
R235672,R885300
R743802,R815026
R250252,R513712
R826916,R367350
R670534,R782342
R768887,R794962
R590253,R256406
R217488,R361077
R702268,R657576
R642912,R578917
R586986,R209998
R624530,R453116
R886078,R144272
R438388,R287155
R936236,R728456
R524344,R868608
R664142,R801940
R859881,R745121
R856206,R439204
R857414,R118997
R675723,R969782
R225275,R503252
R324778,R641354
R454602,R891806
R429403,R354659
R624132,R112553
R412904,R498268
R857797,R285752
R113221,R986125
R380172,R375749
R781656,R493029
R398352,R192914
R245051,R223114
R978933,R755760
R150777,R630129
R475281,R405351
R828919,R428029
R496843,R593226
R599448,R219400
R240055,R265394
R941333,R146585
R962289,R460146
R673522,R301930
R244029,R811790
R112094,R635990
R101986,R555119
R398396,R464776
R240797,R799225
R199863,R704993
R527474,R781174
R678602,R988587
R752141,R615896
R840052,R598780
R483001,R672643
R678519,R889443
R835485,R325533
R965506,R561292
R540348,R439433
R493967,R361339
R307800,R941583
R300756,R210094
R842098,R174734
R734603,R469346
R183357,R813012
R992084,R655434
R758367,R640042
R397478,R690239
R290357,R492560
R128326,R160283
R833357,R747838
R232494,R445043
R571763,R810423
R755780,R315920
R811889,R484887
R699967,R272972
R288762,R234451
R410748,R365493
R357401,R399571
R567330,R550931
R465788,R308604
R458505,R210077
R581640,R710612
R821995,R535347
R720460,R361791
R729841,R998196
R889734,R145844
R157141,R816657
R445819,R387630
R230062,R275121
R818276,R757496
R607671,R987064
R319069,R249999
R300532,R325379
R145190,R138683
R308746,R948927
R791421,R784937
R682064,R277080
R417668,R989449
R876763,R100581
R827857,R152345
R330077,R846568
R941116,R998410
R737784,R424249
R491852,R137838
R328860,R264415
R301378,R804012
R712065,R254912
R468578,R141881
R634498,R503578
R487921,R259451
R810999,R707380
R926882,R595092
R445614,R279586
R687210,R572433
R732717,R754228
R183314,R345098
R331523,R554426
R795118,R904947
R402735,R656088
R926597,R729200
R771155,R445567
R663649,R559129
R510376,R735459
R373597,R676139
R401972,R505120
R849959,R559442
R456091,R711267
R633035,R364843
R461044,R359173
R301790,R972534
R613139,R606418
R168773,R289056
R995746,R948685
R860578,R220053
R864711,R743890
R699817,R692678
R429069,R879701
R460397,R552731
R311832,R960735
R852881,R784451
R933984,R743473
R577140,R634640
R801191,R469935
R117108,R334002
R865709,R361020
R711187,R390305
R727768,R523579
R112700,R604039
R688653,R544691
R543219,R301846
R949824,R821631
R276519,R295365
R824885,R506160
R618106,R129064
R128873,R698919
R331207,R822510
R537787,R752854
R682027,R976676
R912239,R578168
R308544,R761471
R277163,R312936
R939628,R104215
R650316,R451258
R913365,R187659
R925235,R174576
R207799,R169137
R437080,R950660
R132151,R843959
R710019,R362763
R893296,R288322
R898103,R153436
R885148,R403561
R799547,R500128
R587483,R526330
R902707,R504174
R337103,R316168
R776435,R434442
R956099,R184745
R738278,R908069
R116807,R337065
R449001,R902571
R947470,R884612
R955086,R161137
R540418,R175996
R542716,R981354
R726244,R306246
R176414,R383897
R331240,R377865
R117382,R259707
R398807,R770153
R194536,R214543
R299777,R169800
R818056,R634469
R669807,R176764
R616919,R722451
R732312,R298512
R952637,R461290
R443071,R428149
R759407,R375454
R668279,R443068
R711917,R345903
R652529,R299322
R756392,R640987
R329839,R956875
R951772,R723922
R910265,R436169
R270062,R161311
R513292,R492822
R954162,R984325
R289860,R479356
R512300,R964828
R486671,R926800
R112973,R680898
R764123,R531144
R846851,R165161
R976409,R782813
R287972,R692516
R923543,R999639
R606857,R879157
R361940,R976279
R287667,R361688
R344678,R529551
R630385,R281315
R947121,R154998
R680269,R167467
R325228,R403544
R332304,R680867
R954384,R142720
R192693,R701609
R824890,R639751
R136278,R837730
R653591,R464917
R127023,R921564
R158233,R330627
R175265,R470204
R445699,R429649
R961475,R416350
R600658,R840434
R881369,R427961
R606091,R431582
R357776,R537412
R210075,R758733
R265433,R523609
R399877,R342526
R630881,R982511
R799651,R397784
R162227,R251166
R756693,R845370
R150040,R748581
R389254,R966128
R935070,R921779
R180273,R567395
R520903,R599940
R945322,R934216
R507460,R975514
R241355,R767939
R506922,R177354
R815440,R949594
R804175,R366688
R406557,R183964
R727993,R450226
R805179,R233662
R742920,R270692
R290212,R777241
R556455,R870679
R589879,R712972
R753454,R702457
R193925,R269214
R370700,R151046
R137663,R119421
R827097,R734566
R307666,R351825
R682234,R613174
R900939,R208920
R546223,R149669
R338513,R480920
R957736,R103345
R721967,R677470
R549030,R842511
R771618,R613905
R926828,R269213
R746119,R598981
R107818,R118485
R863243,R197161
R179333,R940652
R414844,R360775
R251075,R113014
R615294,R653240
R216218,R144595
R501001,R938174
R753275,R944978
R390804,R647588
R940861,R736076
R284426,R972735
R261125,R985434
R904897,R648624
R501750,R847998
R354461,R787264
R335307,R384635
R384972,R456714
R615265,R445232
R216745,R646175
R846628,R277857
R548899,R478513
R474576,R470646
R624507,R170861
R955233,R846117
R822596,R898442
R629375,R693442
R331076,R114609
R867020,R388330
R910118,R287616
R977440,R252397
R622767,R294042
R342020,R337191
R896595,R624612
R380403,R252188
R185533,R255679
R818438,R301227
R243992,R551649
R633651,R459016
R459047,R837489
R968070,R149545
R252202,R957885
R258980,R218912
R324006,R733591
R268249,R845189
R212896,R202858
R725936,R561113
R760417,R409812
R405154,R111743
R933230,R335539
R172009,R203686
R672606,R261563
R849066,R839111
R932885,R319976
R615692,R808107
R692677,R502077
R811648,R215375
R811293,R390310
R963165,R475486
R116423,R671420
R894652,R487664
R569084,R243044
R242671,R891276
R612082,R700443
R261060,R468752
R308442,R770951
R257442,R391245
R184559,R623822
R602763,R183372
R357366,R910237
R827401,R974898
R492969,R115810
R489681,R567266
R869768,R874572
R173264,R397102
R190233,R662576
R159795,R428391
R274252,R555457
R477338,R789621
R876659,R279416
R320047,R939202
R464326,R690105
R229169,R171461
R139690,R384637
R337836,R589622
R632885,R327670
R156829,R526105
R781978,R947863
R840127,R888730
R312015,R214255
R897938,R468007
R100172,R809687
R110652,R606828
R572593,R646817
R862016,R812191
R100635,R322193
R118350,R428212
R365471,R342868
R396493,R722767
R481800,R687420
R424591,R747397
R745552,R558757
